lat,lon,PSurf_Winter,Qair_Winter,Rainf_Winter,Snowf_Winter,Tair_Winter,Wind_Winter,PSurf_Spring,Qair_Spring,Rainf_Spring,Tair_Spring,Wind_Spring,PSurf_Summer,Qair_Summer,Rainf_Summer,Tair_Summer,Wind_Summer,PSurf_Fall,Qair_Fall,Rainf_Fall,Tair_Fall,Wind_Fall,index_right,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
[19.250000 ; 22.750000 [,[1.750000 ; 3.250000 [,[0.398477 ; 0.461397 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.694770 ; 0.763758 [,[0.438477 ; 0.501334 [,[0.355617 ; 0.414924 [,[0.000377 ; 0.039345 [,[0.863011 ; 1.000000 ],[0.388229 ; 0.450531 [,[0.470795 ; 0.534425 [,[0.701928 ; 1.000000 ],[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.216602 ; 0.271687 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.366207 ; 0.452397 [,[0.817406 ; 1.000000 ],[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.000000 ; 0.182103 [,[0.000000 ; 0.238544 [,[0.000000 ; 0.095041 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.172197 ; 0.417892 [,[0.367442 ; 0.455814 [,[0.390244 ; 0.530488 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[19.250000 ; 22.750000 [,[3.250000 ; 4.250000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.694770 ; 0.763758 [,[0.438477 ; 0.501334 [,[0.355617 ; 0.414924 [,[0.039345 ; 0.100164 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.701928 ; 1.000000 ],[0.344072 ; 0.577067 [,[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.366207 ; 0.452397 [,[0.817406 ; 1.000000 ],[0.469583 ; 0.512500 [,[0.446146 ; 0.451373 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.405939 ; 0.413404 [,[0.428504 ; 1.000000 ],[0.798546 ; 0.808930 [,[0.803093 ; 0.813402 [,[0.182103 ; 0.288822 [,[0.238544 ; 0.309973 [,[0.388430 ; 0.429752 [,[0.456311 ; 0.582524 [,[0.940000 ; 0.972000 [,[0.950000 ; 0.972000 [,[0.172197 ; 0.417892 [,[0.031395 ; 0.367442 [,[0.990854 ; 1.000000 ],[0.539256 ; 0.562397 [,[0.447560 ; 1.000000 ],[0.545455 ; 0.569007 [,[0.488889 ; 0.622222 [,[0.000000 ; 0.258065 [,[0.487805 ; 0.731707 [
[19.250000 ; 22.750000 [,[3.250000 ; 4.250000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.763758 ; 0.821746 [,[0.438477 ; 0.501334 [,[0.355617 ; 0.414924 [,[0.039345 ; 0.100164 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.701928 ; 1.000000 ],[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.366207 ; 0.452397 [,[0.817406 ; 1.000000 ],[0.469583 ; 0.512500 [,[0.446146 ; 0.451373 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.405939 ; 0.413404 [,[0.428504 ; 1.000000 ],[0.798546 ; 0.808930 [,[0.803093 ; 0.813402 [,[0.182103 ; 0.288822 [,[0.238544 ; 0.309973 [,[0.388430 ; 0.429752 [,[0.456311 ; 0.582524 [,[0.940000 ; 0.972000 [,[0.950000 ; 0.972000 [,[0.172197 ; 0.417892 [,[0.031395 ; 0.367442 [,[0.990854 ; 1.000000 ],[0.539256 ; 0.562397 [,[0.447560 ; 1.000000 ],[0.545455 ; 0.569007 [,[0.488889 ; 0.622222 [,[0.000000 ; 0.258065 [,[0.487805 ; 0.731707 [
[19.250000 ; 22.750000 [,[4.250000 ; 5.750000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.763758 ; 0.821746 [,[0.438477 ; 0.501334 [,[0.355617 ; 0.414924 [,[0.000377 ; 0.039345 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.701928 ; 1.000000 ],[0.344072 ; 0.577067 [,[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.452397 ; 0.482859 [,[0.522184 ; 0.535836 [,[0.306771 ; 0.424063 [,[0.295671 ; 0.422809 [,[0.245833 ; 0.318519 [,[0.280899 ; 0.341377 [,[0.206536 ; 0.302671 [,[0.212364 ; 0.318546 [,[0.384216 ; 0.743510 [,[0.386598 ; 0.760825 [,[0.182103 ; 0.288822 [,[0.309973 ; 0.376011 [,[0.247934 ; 0.268595 [,[0.242718 ; 0.364078 [,[0.437500 ; 0.845000 [,[0.465000 ; 0.915000 [,[0.447291 ; 0.453734 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.202479 ; 0.357851 [,[0.170041 ; 0.332877 [,[0.545455 ; 0.569007 [,[0.355556 ; 0.422862 [,[0.419355 ; 0.542362 [,[0.121951 ; 0.390244 [
[19.250000 ; 22.750000 [,[1.750000 ; 3.250000 [,[0.362495 ; 0.398477 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.694770 ; 0.763758 [,[0.294778 ; 0.370811 [,[0.293705 ; 0.355617 [,[0.000377 ; 0.039345 [,[0.863011 ; 1.000000 ],[0.450531 ; 0.473629 [,[0.322330 ; 0.401318 [,[0.701928 ; 1.000000 ],[0.344072 ; 0.577067 [,[0.630469 ; 0.698234 [,[0.459510 ; 0.469149 [,[0.305530 ; 0.380863 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.452397 ; 0.482859 [,[0.817406 ; 1.000000 ],[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[19.250000 ; 22.750000 [,[3.250000 ; 4.250000 [,[0.398477 ; 0.461397 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.763758 ; 0.821746 [,[0.400964 ; 0.438477 [,[0.293705 ; 0.355617 [,[0.000377 ; 0.039345 [,[0.863011 ; 1.000000 ],[0.388229 ; 0.450531 [,[0.429098 ; 0.470795 [,[0.701928 ; 1.000000 ],[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.389269 ; 0.452681 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.452397 ; 0.482859 [,[0.817406 ; 1.000000 ],[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[19.250000 ; 22.750000 [,[3.250000 ; 4.250000 [,[0.398477 ; 0.461397 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.763758 ; 0.821746 [,[0.438477 ; 0.501334 [,[0.293705 ; 0.355617 [,[0.000377 ; 0.039345 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.515508 ; 0.701928 [,[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.452397 ; 0.482859 [,[0.817406 ; 1.000000 ],[0.469583 ; 0.512500 [,[0.446146 ; 0.451373 [,[0.430185 ; 0.537222 [,[0.487680 ; 0.604770 [,[0.405939 ; 0.413404 [,[0.428504 ; 1.000000 ],[0.798546 ; 0.808930 [,[0.803093 ; 0.813402 [,[0.182103 ; 0.288822 [,[0.238544 ; 0.309973 [,[0.388430 ; 0.429752 [,[0.456311 ; 0.582524 [,[0.940000 ; 0.972000 [,[0.950000 ; 0.972000 [,[0.172197 ; 0.417892 [,[0.031395 ; 0.367442 [,[0.990854 ; 1.000000 ],[0.539256 ; 0.562397 [,[0.447560 ; 1.000000 ],[0.545455 ; 0.569007 [,[0.488889 ; 0.622222 [,[0.000000 ; 0.258065 [,[0.487805 ; 0.731707 [
[19.250000 ; 22.750000 [,[4.250000 ; 5.750000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.821746 ; 1.000000 ],[0.438477 ; 0.501334 [,[0.293705 ; 0.355617 [,[0.000377 ; 0.039345 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.515508 ; 0.701928 [,[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.482859 ; 0.517520 [,[0.817406 ; 1.000000 ],[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[19.250000 ; 22.750000 [,[4.250000 ; 5.750000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.821746 ; 1.000000 ],[0.438477 ; 0.501334 [,[0.355617 ; 0.414924 [,[0.039345 ; 0.100164 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.701928 ; 1.000000 ],[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.482859 ; 0.517520 [,[0.817406 ; 1.000000 ],[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[19.250000 ; 22.750000 [,[4.250000 ; 5.750000 [,[0.461397 ; 0.525355 [,[0.238492 ; 0.300659 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.821746 ; 1.000000 ],[0.438477 ; 0.501334 [,[0.355617 ; 0.414924 [,[0.039345 ; 0.100164 [,[0.863011 ; 1.000000 ],[0.300296 ; 0.388229 [,[0.470795 ; 0.534425 [,[0.515508 ; 0.701928 [,[0.577067 ; 1.000000 ],[0.630469 ; 0.698234 [,[0.406427 ; 0.459510 [,[0.452681 ; 0.519471 [,[0.152652 ; 0.216602 [,[0.000000 ; 0.051127 [,[0.849612 ; 1.000000 ],[0.482859 ; 0.517520 [,[0.817406 ; 1.000000 ],[0.254167 ; 0.306771 [,[0.263464 ; 0.295671 [,[0.000000 ; 0.229815 [,[0.000000 ; 0.251331 [,[0.205292 ; 0.206536 [,[0.176577 ; 0.212364 [,[0.363448 ; 0.384216 [,[0.368557 ; 0.386598 [,[0.330258 ; 0.357934 [,[0.238544 ; 0.309973 [,[0.247934 ; 0.268595 [,[0.000000 ; 0.097087 [,[0.000000 ; 0.392500 [,[0.447500 ; 0.465000 [,[0.000000 ; 0.139857 [,[0.455814 ; 0.499112 [,[0.000000 ; 0.336909 [,[0.000000 ; 0.004132 [,[0.000000 ; 0.011400 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
[19.250000 ; 22.750000 [,[1.750000 ; 3.250000 [,[0.157636 ; 0.299635 [,[0.000000 ; 0.238492 [,[0.000000 ; 0.039293 [,[ 0.0],[0.811496 ; 1.000000 ],[0.763758 ; 0.821746 [,[0.166764 ; 0.294778 [,[0.204775 ; 0.245574 [,[0.039345 ; 0.100164 [,[0.806112 ; 0.863011 [,[0.473629 ; 0.538630 [,[0.179425 ; 0.322330 [,[0.515508 ; 0.701928 [,[0.193587 ; 0.285506 [,[0.579718 ; 0.630469 [,[0.530368 ; 0.576474 [,[0.159216 ; 0.305530 [,[0.000000 ; 0.152652 [,[0.051127 ; 0.161456 [,[0.849612 ; 1.000000 ],[0.366207 ; 0.452397 [,[0.686007 ; 0.740614 [,[0.000000 ; 0.254167 [,[0.000000 ; 0.263464 [,[0.229815 ; 0.245833 [,[0.251331 ; 0.280899 [,[0.000000 ; 0.205292 [,[0.000000 ; 0.176577 [,[0.000000 ; 0.363448 [,[0.000000 ; 0.368557 [,[0.288822 ; 0.330258 [,[0.431267 ; 0.485175 [,[0.247934 ; 0.268595 [,[0.242718 ; 0.364078 [,[0.000000 ; 0.392500 [,[0.000000 ; 0.447500 [,[0.139857 ; 0.172197 [,[0.000000 ; 0.031395 [,[0.000000 ; 0.336909 [,[0.004132 ; 0.041322 [,[0.011400 ; 0.011970 [,[0.000000 ; 0.363636 [,[0.222222 ; 0.355556 [,[0.258065 ; 0.419355 [,[0.000000 ; 0.121951 [
